oulipien;LucienSuel;|"Poète ordinaire, romancier, jardinier, traducteur et bouseux psychédélique.  
Prochaine parution (en 2021) : "Arithmomania" aux Editions du Dernier Télégramme."|
oulipien;mornayl;"Auteur sous un autre nom et scénariste sous le nom de Gérard Walraevens."
oulipo;StephaneLastere;|"#ERUN #TeamPE @Circo_pre16 #ASH #EcoleInclusive, médiation #BD 

Projets :
 #EcoleNumerique ( @ptchwrkfr @tw_oulipo )
pédagogie #BD (#PREACBD team, test #BDNF)"|
oulipo;CatherinePolver;"formatrice, musicienne 🎻🎼🎹🎵🧚‍♀️"
oulipo;LaurePressac;|"Consulting Partner @OgilvyConsultFR ; Ex strat + numérique @leCMN, Ex @CapgeminiInvent #transfodigitale #startup #femmes #musees #art #graffiti"|
oulipo;phparrot;"Avaleur d'idées, Tricoteur de mots, Agenceur de rimes. Comme l'ont fait, à cette heure, plus de 1 000 000 de lecteurs, découvrez tous mes écrits sur mon blog !"
oulipo;Azumauve;""le premier pas vers la sagesse,c'est d'oser douter de son savoir." François Rodolphe Weiss."
oulipo;PSVCirco;""
oulipo;Mstrka;"Hypnotiseur d'étoiles à ses heures perdues."
oulipo;nadia_gendre;"Expert Mode et Tissage @UNIDO_tunisia  @CLUSTER_DVLPMT Partenariats écoles à la https://t.co/4IFyHhElMq Mentoring à https://t.co/e9efCrnpip"
oulipo;mstrk;"Aiguillonneur du ciel à ses heures perdues. ( @Mister_K )"
oulipo;LOuLiPienne;"Les mots sont un jeu 📚📝 #litteratureludique #litteratureexperimentale"
oulipo;Arnaud_Laporte;"En charge des @ACulturelles @franceculture . J'écris dans @VanityFairFR & @MagTheatres . Professeur au #CNSAD"
oulipo;SguonoShivko;""Quand on est poussière, il faut d’abord se mettre en tas : c’est plus propre pour la personne qui viendrait vous ramasser." (Raymond DEVOS)"
oulipo;MarSolRivas;|"Pour passer directement à 2021, cliquez ici ➡️ 🔴
#ColoreTonFil #StreetArt #Oulipo #6mots #parodies #games FR/EN/+ @AmazingNewbot"|
oulipo;AndeP64;"Formatrice, 💙littérature, cinéma, théâtre, amatrice éclairée d’#Oulipo et de plein d’autres choses, gribouilleuse de #Poésie ..."
oulipo;Bassogna;"professeur des écoles -  ambassadrice #Savanturiers - formatrice/correctrice -#Twittclasse - #Minestory"
tweeterature;R2NChateau;Description non trouvée
tweeterature;botduSEXE;"Je suis un DDS"
tweeterature;MSpadine;"Just love everyday ❤️❤️❤️🙏🙏🙏🐶🐶🐶 @KVajpayaee @Katyayan27 #Katyayan 🇮🇳🕉🇧🇷 ☯️🇮🇱 ✡️🕎"
poesia;DomJDom;"Ingénieur des #ArtsetMétiers  Soutien de l'Association de Défense des Investisseurs et des Mandataires, à @Cabinet_Noir et à @ANTI_NANTI"
poesia;blancgerard2;"Auteur de plusieurs livres, défenseur de l’environnement, chef d’entreprise dans le secteur alimentaire de produit biologiques, en perpétuel mouvement"
poesia;anton1955;"@anton1955 Tweeter, c'est comme ouvrir les yeux pour vérifier qu’on est bien endormi. Représentant en tankas et autres haïkus. Ni prospection ni porte à porte."
poesia;larahernandezc6;|"NUNCA DEJES DE SONREIR🤗
NO GRUPOS.
NO MULTIMENCIONES.
MUCHAS GRACIAS!!"|
poesia;BabyGirl4xs;|"Nos musicalités s'accordent si bien aux cœurs à corps ; et mon chemin m'a mené jusqu'à toi @MisterCoolos"|
poesia;alaindu891;"Gaucher de Gauche, milite depuis 1976. Je ne twitte qu en mon nom"
poesia;Thierry_PELTIER;"Catholique pratiquant, je traque les traces de Dieu dans ma vie. Je me place du côté des faibles, des exclus, des pauvres... Je bloque toujours les insultes."
poesia;etxebarre;"Kasetalari, ützülpen egile, eüskararen süstazale / Journaliste, traducteur, militant de la langue basque."
poesia;Sydogasy;"Auteur, poète, défenseur de la nature et passionné de la photographie."
poesia;grarulfr_;"I'm a collective, we are no one and everyone."
poesia;gonza_yaqui;|"Luchador social, cantor, poeta, padre feliz de dos soles!
Master en Literatura y Política"|
poesia;Redragon974;"❌⭕️"
poesia;boulfalley;"🛸👽🔚🔜🕉️🧬☠️👁️👑🌍"
poesia;xoselbrea;"Médico y Melómano. Abierto a todo lo humano. Centrado en Humanidades Médicas y Música. Y con necesidad de escribir https://t.co/A34pvq715l"
poesia;Chouny111;""
poesia;EricDubois;"Écrivain. https://t.co/aXzw3voWLP Revue / association/ édition @capitaldesmots  Photo : © Peter Gabor, 2017. Compte officiel."
poesia;BleueEvelyne;"Femme petit gabarit grand sens de l'humour et dérision poétique"Je laisserai mes pas sur le sable" édité par La Porte.3livrets de micropoésies chez AetH"
poesia;SyllViie10;|"Carpe Diem - Que de l'amitié... Pour le reste ⛔ passez votre chemin..... ⛔
Fuck le crabe... bientôt 12 ans ...."|
poesia;VardorDe;"« Dans une guerre, ce qui se passe, ce n'est jamais ce qu'on avait prévu. Alors ce qui compte, c'est d'avoir le moral ! » Bigeard"
poesia;PatouStVictor;"Planète Mars eille, au comptoir du Bar de la Marine. César j'attends mon Picon Citron Curaçao ! Avatar©Tassili https://t.co/orwlemSiu3"
poesia;montpeita;"El Setmanari de Sant Fruitós de Bages"
poesia;Occitanie_vers;"RT de textes et poésies, connus ou non. Juste pour le plaisir de partager de jolis mots #ligue_des_optimistes"
poesia;lerman_alix;"Poétesse,  j'aime écrire, faire des vers, trouver des résonances entre les mots."
poesia;thrsdaynight;"Poetry. Prose. Perspective."
poesia;PrinceMots14;"Poète. Deux recueils publiés. Premières Étincelles, Réminiscences. https://t.co/G2aei3T7SH"
poesia;Artudacamelot5;""
poesia;ionztomo16;"Licenciado en derecho 🎓 Fotógrafo y escritor ✍️ No puedo volver al pasado porque era una persona distinta. Amigo de mis amiibos y amante de los 80's 🎧 🍁"
poesia;HerveTiss;"Loin de mes turpitudes, mon âme s’exerce à la #poesie , un peu maladroite, un peu bancale, mais sincère et spontanée. Les Ténèbres sont le reflet de ma maladie"
poesia;MHD_Ber;|"Je me Définis comme un Indéfini./
Xel Koom La( L'intelligence est une richesse)/
Xel Mooy Niit( C'est la raison qui guide)!"|
poesia;mohamedabdoube1;"Né a Fes en 18/04/1950 Architecte de formations.Retraite."
poesia;Laurentus47;"ouvrier écrivain autodidacte"
poesia;annemar50566588;|"Le chemin le plus long qu'un homme ait à parcourir au cours de sa vie est le chemin allant de la tête à son coeur #citation
#humanité 🕊️
#foi #nature
⛔ DM"|
poesia;Lapanthere59;|"amoureuse de Marc, 
💜💜💜♥️♥️♥️"|
poesia;m5rcury;""
poesia;Camille_Jeann;|"[Ph. Elliott Erwitt __France 1952]

I bambini giocano. C'è un altro gioco da inventare: far sorridere il mondo non farlo piangere. (Bertolt Brecht)"|
poesia;diotime46;|"Une passante...à sauts et à gambades. 
Instable entre le Carpe Diem et l'effroi.
 "Là où croît le péril, croît aussi ce qui sauve"  Hölderlin"|
poesia;JalinJo;"Infirmier psy retraité qui pense que, finalement, le Gascognexit,  sans Bordeaux, serait bien avec des gens qui partagent les mêmes valeurs humanistes que moi !"
poesia;vrenanan;"j'aime la belle musique, les bonnes voitures, les gentil(le)s et oui les chats, la nature et la beauté"
poesia;Cadetsandrine87;"fidèle à ceux que j'aime..."
poesia;angbonnn;"Je ne suis pas rouge écarlate Ni bleu ni blanc ni cramoisi Je suis d'abord un cri pirate De ces cris là qu'on interdit.Jean Ferrat"
poesia;JessMar62054620;"Baratillo. Sevilla. Andalucía   VERDE     Sevilla FC"
poesia;_ThinkBot;|"I RT #Literature, Poetry, writings
Have you Met My Mother 
@Lubna_lalegal❤️
ThINK Publishers @Medium:
For Submissions: thinkpublication@gmail.com
Visit us⬇"|
poesia;MiguelBalle_;"Un fois lâchée, la flèche ne peut retourner à l'arc"
poesia;Philinte4;"Lecture, écriture."
poesia;JacquinetJean;|"Enseignement fondamental
"Apprendre sans réfléchir est vain. Réfléchir sans apprendre est dangereux" Confucius - LE CANCRE de Jacques Prévert"|
poesia;chantal_colland;"Fan à Vie de Christophe Willem, Passionnée par la Danse,la Peinture (Aquarelle, StreetArt), les Enfants, les Animaux, ...Curieuse de tout mais hais la Vulgarité"
poesia;LoCagouillard;|"J'ai pas d'apôtre
 J'ai pas de croix
 Je crois en l'autre
 Je crois en moi 
Claude Nougaro"|
poesia;ZenAttitude1111;"Ne soyez pas victime du jugement et de la jalousie des autres Restez vous-mêmes contre vents et marées"
